coin_name,kyc_or_not,audit_or_not,description,current_presale,soft_cap,hard_cap,currency,private_sale_start_time_(UTC),private_sale_end_time_(UTC),date_last_updated,first_release_for_project,vesting_for_project,status,minimum_buy,maximum_buy,website_link
 GOHK Hong Kong chain currency starts pre-sale , No , No , GOHK是一個基於Web3.0構建的多元化平台，致力於推進數宇化技術創新，探索Web3.0時代的新場景、新內容、新業態，以及新經濟的組織形式。作為一個開放、平等、協作、共治、共享的生態系統，GOHK將打造Web3.0治理基“座”，讓每個人都成為一名創造者和參與者。 ,"10,000 "," 5,000 "," 10,000 ", USDT , 2023.04.26 12:00 , 2023.04.27 12:00 , 2023-09-14 , 95% , 5% each 1 days , ended ,50.0," 1,000 ", https://t.me/GOHK_go
 MCn , No , No , Private Sale Address 0xA79EF0Ea0Fb6164e0e26D39Fce63693371a338D9 ,0 , 30 , 50 , BNB , 2023.04.07 19:00 , 2023.04.14 18:44 , 2023-09-14 , 40% , 20% each 180 days , canceled ,0.05, 5 , https://bedalasailesi.tr.gg/
 $Bitage Private Token Sale , No , No , Bitage is a viable arbitrade company. Bitage over the years has consistently maintained steady growth in the trading of cryptocurrencies' assets with the use of it's modern trading tools. Bitage well programmed trading bots that work and harness good profits from all time frames. ,0 , 100 , 200 , BNB , 2023.08.01 00:00 , 2023.09.30 23:59 , 2023-09-14 , 60% , 20% each 10 days , canceled ,0.1, 50 , https://bitageauto.com/
 VideoFi , No , No ," 🙆VideoFi is a web3 social app that allows anyone to earn crypto while uploading, promoting, and watching videos. 🇱🇦VideoFi is the brainchild of Laos digital video tycoons, accompanied by leading blockchain organizations in Laos such as Laos GameFi Guild, Block Hub and Military Consortium Funds and more.🛫️Community of millions of fans.💰Huge amount of money.🇮🇳crypto players India. ",0 , 20 , 38 , BNB , 2023.04.10 12:00 , 2023.04.11 12:00 , 2023-09-14 , 95% , 5% each 3 days , canceled ,0.05, 0.3 , http://videofihq.xyz/
 Crypto Dragon Ball , No , No ," Cryptodragonball is a NFTs game. We are proud that this is the first NFTs game on the Binance Smart Chain platform based on the popular manga series. - Dragon Ball. You can experience the beta game here: https://beta.cryptodragonball.io. As soon as the Pre-sale ends we will open the official version of the game.To better understand us and game content you can see details : https://docs.cryptodragonball.io , https://guides.cryptodragonball.io/ ",0 , 275 , 500 , BNB , 2023.04.05 09:00 , 2023.04.12 21:00 , 2023-09-14 , 25% , 10% each 20 days , canceled ,0.1, 30 , https://cryptodragonball.io/
 Zartum Protocol Text to Video AI Seed Round , No , No ," CHATGPT4 Killer is here. Revolutionary Text to Video AI Generator. Create stunning, ultra realistic AI generated videos from text prompt. Work with all sectors and industries. The breakthrough is here. The Zartum Protocol text-to-video AI ecosystem works by taking a textual input and generating a video output that corresponds to the input. The process begins with the NLP model, which processes the textual input and generates a storyboard outlining the visual elements of the video. ",0 , 50 , 100 , BNB , 2023.03.26 13:35 , 2023.04.03 13:36 , 2023-09-14 , 95% , 5% each 3 days , canceled ,0.1, 30 , https://zartumprotocol.tech/
 GreedyVerse Private Sale (Early Access) , Yes , No ," GreedyVerse is building the world's largest collection of fun P2E games starting with the Greedy Clans game - a multiplayer battle strategy game. Private sale is 2.5X cheaper than Presale Price. The Next 100X Gamefi token ✅ Experienced Team ✅ first game is released ✅ 2 games in development ✅ Registered Company ✅ Double KYC'd, Doxxed & Audited ✅ Partnerships ✅ Backed by PixelDat Studio ✅ Huge marketing ✅ Top CEX listings ==> Download apk: http://bit.ly/3JsHWLX ",0 , 40 , 80 , BNB , 2023.03.16 09:00 , 2023.03.18 19:00 , 2023-09-14 , 60% , 10% each 1 days , canceled ,0.2, 3 , https://greedyverse.co/
 GreedyVerse Private Sale (Early Access) , Yes , No ," GreedyVerse is building the world's largest collection of fun P2E games starting with the Greedy Clans game - a multiplayer battle strategy game. Private sale is 2.5X cheaper than Presale Price. The Next 100X Gamefi token ✅ Experienced Team ✅ first game is released ✅ 2 games in development ✅ Registered Company ✅ Double KYC'd, Doxxed & Audited ✅ Partnerships ✅ Backed by PixelDat Studio ✅ Huge marketing ✅ Top CEX listings ==> Download apk: http://bit.ly/3JsHWLX ",3.35 , 50 , 100 , BNB , 2023.03.16 17:00 , 2023.03.19 17:00 , 2023-09-14 , 90% , 10% each 7 days , canceled ,0.2, 5 , https://greedyverse.co/
 KXP TOKEN , No , No ," Grow with KodexPay and value the token, each new transaction that we process supports the growth of the currency and establishes itself in the market, thus leading us to become the main payment processors in Latam and the world. We are not only a cryptocurrency, we are also a global payments ecosystem, community and digital means ",109.2123662099422 ," 350,000 "," 700,000 ", USDT , 2023.03.10 10:24 , 2023.04.23 07:24 , 2023-09-14 , 30% , 30% each 2 days , ended ,10.0," 100,000 ", https://token.kodexpay.com/index
 KODEXPAY , No , No ," It is a platform that adapts to day-to-day needs, providing solutions to the complex financial environment based on blockchain technology to provide transparency, scalability and speed to any type of commercial transaction that is generated in a B2P and P2P environment, using conversion protocols developed to work directly with nodes that provide a smooth flow of all operations ",0 ," 1,000,000 "," 1,000,000 ", BNB , 2023.03.10 22:50 , 2023.07.19 22:51 , 2023-09-14 , 40% , 20% each 8 days , canceled ,0.05," 10,000 ", https://token.kodexpay.com/index
" Favoom - The web3 social media platform for cryptocurrencies, tokens and NFTs. ", No , No ," With Favoom (trademarked), we combine Twitter, telegram, TikTok, and Facebook for web3 crypto projects and web3 payments through a built-in decentralized wallet (partnered with PayAccept) where users can deposit/withdraw/swap/trade all tokens that are launched on Ethereum, Abritrum, and Binance. ",0.3 , 100 , 200 , BNB , 2023.04.01 16:00 , 2023.06.01 16:00 , 2023-09-14 , 40% , 20% each 90 days , canceled ,0.1, 5 , https://favoom.com/
" Wheat Token ""Private Sale"" - 50% OFF of the launch price ", No , No ," Wheat Token is excited to announce the launch of a new cryptocurrency that offers a one-of-a-kind opportunity for passive earnings in the gaming industry. Our financial structure is supported by the gaming platform by distributing all transaction funds and profit fees to investors. Our decentralized gaming platform is based on the two leading aspects of life – belief in your abilities and luck. The unique about our platform is ALL or NOTHING, where the winner takes it all. WHAT YOU SOW, SO YOU WILL REAP. ",100 ," 75,000 "," 150,000 ", BUSD , 2023.03.08 18:00 , 2023.03.15 18:00 , 2023-09-14 , 2% , 25% each 30 days , canceled ,100.0," 3,000 ", https://wheat-token.io/
 MIR TOKEN PRESALE , No , No ," MIR TOKEN Is a BEP 20 type Token, created to develop and test solutions to ease financial transactions between Africa and Russia. MIR is a Token to fund the future of Blockchain, an optimization model of two types: Blockchains that will be able to carry billions of transactions per day without the constraint of reduced performance, thanks to new types of servers already in development. ",0 ," 10,000 "," 15,000 ", BNB , 2023.03.06 08:18 , 2023.04.06 08:20 , 2023-09-14 , 25% , 25% each 2 days , canceled ,0.1, 100 , https://mir-token.com/
 Easy Coin Private Sale , Yes , No ," Easy Coin is a fully decentralized community driven project built on the Binance Smart Chain network. You have missed on several amazing crypto-currency projects in the past, do not miss out on Easy Coin, the moon is guaranteed with a strong marketing plan, $EASY is here to stay. KYC certified by Solidproof.io Our presale is next month but it's advisable to participate in this private sale, because it's cheaper. 1BNB = 600M $EASY $1 = 2M $EASY Tax = 10% join telegram group for more info. ",12.471530378356210307 , 10 , 20 , BNB , 2023.02.27 07:00 , 2023.03.20 07:00 , 2023-09-14 , 50% , 20% each 1 days , ended ,0.04, 3 , https://easycoinbsc.com/
 ClickBack Private Sale , No , No ," The project involves the creation of a virtual world using augmented reality technology. In this world, users use their surroundings to participate in a game where they shoot brand balloons with advertisements from companies advertising in their locations. Upon successfully shooting down the balloons, players receive CLK tokens as a reward. for more information about ClickBack Please visit our Whitepaper : https://support.clickback.info/whitepaper-2/ ",0 ," 46,873.6 "," 93,747.2 ", USDT , 2023.03.25 15:42 , 2023.04.25 15:42 , 2023-09-14 , 50% , 50% each 30 days , canceled ,10.0, 30 , https://clickback.info/
 Master Of Rewards [Seed Round] , No , No ," [30% Discount in this Seed Round] MOR aims to revolutionize the way people earn rewards for Holding and Staking. The main focus of MOR is to build Unlimited Rewards System that no need Volume or Transactions at all. With MOR, ✅Earn BNB for Holding MOR ✅Earn rewards in ✅BTC, ✅ETH, ✅BNB, and ✅BUSD just for Staking, and also earn ✅50% APY in MOR even there is no Volume or Transactions at all in one Staking Pool ✅Unstake at any time, stake more at any time! ✅Staking Dapp is Live dapp.masterofrewards.com ",0.25 , 25 , 50 , BNB , 2023.02.27 16:00 , 2023.03.05 16:30 , 2023-09-14 , 90% , 10% each 3 days , canceled ,0.25, 5 , https://masterofrewards.com/
 Crypto Maca , No , No ," CryptoMaca is a data analysis tool based on decentralized exchanges. Its purpose is to provide users with faster and more accurate analysis of market data on the chain, so that users can understand the price trend of their favorite tokens at the first time. The voting mechanism selects popular tokens openly and transparently, and rejects centralized capital control. ",1.18 , 50 , 100 , BNB , 2023.02.17 12:00 , 2023.02.17 13:00 , 2023-09-14 , 90% , 10% each 3 days , ended ,0.2, 2 , https://cryptomaca.org/
 Easy Coin Private Sale , Yes , No ," Easy Coin is a fully decentralized community driven project built on the Binance Smart Chain network We are on a mission to revolutionize web3.0 and become one of the most successful projects on the binance smart chain network. You have missed out on Amazing projects on the BSC network, do not miss out on Easy Coin, we have a strong and dedicated team making sure this project succeeds. KYC and Audit is done. Join us on telegram for more update. 1BNB = 600M $EASY at private sale ",0.18 , 10 , 20 , BNB , 2023.02.15 17:00 , 2023.02.22 17:00 , 2023-09-14 , 50% , 20% each 1 days , canceled ,0.04, 3 , https://easycoinbsc.com/
 Snowflake Aid For Turkiye , No , No , Snowflake Aid Token is a successful charity community cryptocurrency project with excellent tokenomics established by the Snowflake Token community for turkey and other afflicted communities. The crypto community owns this cryptocurrency to give back to humanity by holding and transacting without financial impact. This community charity token is 100% renounced. ,49 ," 1,500,000 "," 2,500,000 ", USDT , 2023.02.14 00:00 , 2023.02.17 00:00 , 2023-09-14 , 20% , 20% each 2 days , canceled ,1.0," 10,000 ", https://www.snowflaketoken.io/
 Turkey Relief Token , No , No ," Turkey Relief Token is a successful charity community cryptocurrency project with excellent tokenomics established by the NGO humanitarian community for turkey and other afflicted communities. The crypto community owns this cryptocurrency to give back to humanity by holding and transacting without financial impact. This community charity token is 100% renounced, LP locked, keys thrown away, auto liquidity generator, and auto award, ensuring holders benefit. ",7.894 , 5 , 10 , BNB , 2023.02.12 19:16 , 2023.02.12 19:45 , 2023-09-14 , 25% , 20% each 14 days , ended ,0.1, 1 , https://turkeyrelieftoken.help/
 Snowflake Token Sale , No , No ," The main aim of Snowflake Project is to plant as much trees as possible all around the world to make it healthier place to live for our children and grandchildren. We have contract to plant 1 million these in Turkey and we are in touch with Australian government at the moment to secure our contract in there. At the moment we have on our next to do list Amazon rain forest, Texas, Mexico, Poland, Greece and potentially some countries in Africa. Private sale $1 = 3 $SFE ",498.21971957264714 ," 50,000 "," 100,000 ", USDT , 2023.02.10 12:30 , 2023.03.03 12:00 , 2023-09-14 , 40% , 20% each 3 days , canceled ,10.0," 1,000 ", https://www.snowflaketoken.io/
 BNBULTRA , No , No , BNB ULTRA IS A COMMUNITY DRIVEN YIELD FUND BASED ON BINANCE SMARTCHAIN Earn every second & withdraw every 24 hours with BNB ULTRA. Benefit from 4 different ways of income. BNB Ultra is the most profitable YIELD FUND on BSC. BECOME PART OF THE MOVEMENT TODAY ,1.606655422481468541 , 50 , 100 , BNB , 2023.02.10 20:30 , 2023.03.18 21:30 , 2023-09-14 , 40% , 20% each 3 days , ended ,0.1, 10 , https://bnb-ultra.com/
 WeSleep: Private Sale , No , No ," WeSleep is a Web3 application with in-built Game-Fi elements, which does not only reward users for their sleep time but most importantly - incentivises them to built a healthier and more active lifestyle. Pre-Beta app is already available to access for our NFT holders. Private Sale token release schedule: 15% at TGE, 3 months cliff, then 12 months linear vesting. Join WeSleep Private Sale and secure the best token price possible before the launch! Eat, Sleep, Earn, Repeat! ",0 , 405 , 810 , BNB , 2023.02.07 14:00 , 2023.03.07 14:00 , 2023-09-14 , 85% , 5% each 3 days , ended ,1.0, 30 , https://wesleep.io/
 TravelCard Private sale BSC , Yes , No ," TravelCard’s mission is to combine centralized goods like tickets, gift cards and bookings with the trusted, secured and easy-to-use decentralized solution, We are calling it Convertible NFTs. To take this idea forward and to create more than just protocol based on NFTs, we’ve established additional products that are aiming to push and motivate the industry to use decentralized technology. Project is based on $TC token and7 revenue streams. ",16.33045525 , 150 , 300 , BNB , 2023.02.09 17:00 , 2023.02.16 23:00 , 2023-09-14 , 70% , 30% each 3 days , canceled ,0.5, 25 , https://travelcard.io/
 CoinFeedback - Seed Round , Yes , No ," Welcome to world's first hybrid DApp CoinFeedback. In addition to closely following the conversations about your crypto portfolios on CoinFeedback.io, it rewards its users according to their feedback, provides useful information from large-scale data, contributes to mining information. It is one of the most important factors and plays a major role in moving the crypto world to the future with confidence. ",0.96137955 , 350 , 700 , BNB , 2023.02.01 23:59 , 2023.03.31 20:06 , 2023-09-14 , 95% , 5% each 1 days , canceled ,0.1, 200 , https://coinfeedback.io/
 CoinFeedback - Test Round ( NO BUY ) , No , No ," The Most Secure Hybrid Crypto Platform The feed, which is the mascot of the next generation crypto platform coinfeedback.io, which brings together the crypto communities with the latest technologies and rewards according to the value of the shared data, protects the crypto world with its own community. ",0 ," 200,000 "," 400,000 ", USDT , 2023.01.31 22:00 , 2023.03.31 18:40 , 2023-09-14 , 55% , 10% each 3 days , canceled ,20.0," 5,000 ", https://coinfeedback.io/
 Meven - Angel Round , No , No ," Meven is an accelerator consisting of a community-based IDO & INO Launchpad & a unique NFT collection of 1000 SeaPunks built on the Aptos & Sui blockchains. $MEV token holders are empowered with access to early-stage Aptos & Sui investment opportunities. To accelerate the growth of the Aptos & Sui ecosystems, whilst providing the support, tools, and funding required for projects to succeed. We have chosen PinkSale for our Angel Round to bridge a connection between BSC and Aptos/Sui ecosystems. ",27.02 , 85 , 170 , BNB , 2023.01.31 15:00 , 2023.02.05 22:00 , 2023-09-14 , 95% , 5% each 1 days , ended ,0.1, 5 , https://meven.io/
 Razor Network BSC - Private Sale , No , No ," NATIVE TOKEN RAZOR NETWORK ON ERC20 IS LAUNCHING ON BINANCE SMART CHAIN WITH ANOTHER SUCCESSFULL & EXPERIENCED DEV ON BSC CHAIN, RAZOR TOKEN ON BSC WILL BRING MORE WEB3 INSFRASTRUCTURE, DEFI, SMART CONTACTS, SUPPORTED BY HUGE PARTNERS , 10 % OF RAISED FUNDS WILL GO TO TEAM FOR MARKETING AND THE REST WILL BE ADDED TO LP POOL, LIQUIDITY WILL BE LOCKED FOR 365 DAYS TO FULLY SECURE OUR INVESTORS, NFT MARKETPLACE AND GAMING METAVERSE WILL BE HELDED SOON JUST STAY TUNED. ",1.275 , 150 , 300 , BNB , 2023.01.29 12:00 , 2023.02.28 08:13 , 2023-09-14 , 60% , 40% each 1 days , canceled ,0.1, 10 , https://razor.network/
 Safe Coliseum - SCOLT - Pre-Sale Round 1 , No , No , Safe Coliseum aims towards making an ecosystem that is seamless so that the transactions are transparent and the probability and scope of frauds and problems are eliminated. Safe Coliseum (SCOLT tokens) is a revolutionary transaction medium for the cinematic industry intending to bring this global industry closer. ,0.33 , 161 , 322 , BNB , 2023.01.27 01:00 , 2023.01.31 23:59 , 2023-09-14 , 60% , 40% each 2 days , ended ,0.321543, 16.077 , https://www.safecoliseum.io/
 BeePro Private Round , Yes , No ," BeePro is a universal Dex platform in which we integrate our unique ecosystem that will help almost everyone in the crypto industry: from trading to investing. We are creating a full-fledged technological complex, which can give huge analytical flows on any crypto project with information obtained from the analysis of the blockchain network about the reliability and development prospects of each token. ",3.271459355 , 350 , 700 , BNB , 2023.01.20 18:00 , 2023.01.30 18:00 , 2023-09-14 , 95% , 5% each 1 days , canceled ,0.1, 350 , https://beepro.dev/?utm_source=pink&utm_medium=sale&utm_campaign=private
 Awaken The Empire Private Sale , No , No ," Awaken The Empire is a trading card game (TCG), also called a collectible card game (CCG) developed on the Binance Smart Chain (BSC) platform. The game faithfully represents the awakening of empires with a compelling story, and beautiful graphics, and together with the power of Web3 creates a metaverse environment with a perfect and different experience from regular games. ",74.49352011071966 ," 60,000 "," 120,000 ", BUSD , 2023.01.15 08:00 , 2023.01.22 23:59 , 2023-09-14 , 40% , 15% each 90 days , ended ,50.0," 50,000 ", https://awakentheempire.io/
 Hyperion Private Sale , Yes , No ," Hyperion - Provides a fixed APY of 3333%. Automatically staking and earn revenue from multiple streams by holding one token. Using a Positive Rebase formula, Hyperion makes it possible for daily token distribution directly proportional to the daily rebase rewards. The rebase rewards are distributed on each epoch (rebase period) to all $HYRI holders. This means that without moving their tokens from their wallet, Hyperion holders receive an annual compound interest of 3333%. ",0 , 22 , 44 , BNB , 2023.01.13 14:00 , 2023.01.14 14:00 , 2023-09-14 , 80% , 10% each 30 days , canceled ,0.3, 0.9 , https://hyperionpro.finance/
 Hyperion Private Sale , No , No ," Hyperion - Provides a fixed APY of 3333%. Automatically staking and earn revenue from multiple streams by holding one token. Using a Positive Rebase formula, Hyperion makes it possible for daily token distribution directly proportional to the daily rebase rewards. The rebase rewards are distributed on each epoch (rebase period) to all $HYRI holders. This means that without moving their tokens from their wallet, Hyperion holders receive an annual compound interest of 3333%. ",0 , 22 , 44 , BNB , 2023.01.13 14:00 , 2023.01.14 14:00 , 2023-09-14 , 80% , 10% each 30 days , canceled ,0.3, 1 , https://hyperionpro.finance/
 PrivateX Private Sale , No , No ," World's First Sanction Proof, Self Destructive Smart Contract Protocol that enables Private & Anonymous Transactions on Blockchain. ✅Layer 1 Private Protocol ✅All LIVE products ✅Seed Round Successful ✅Multiple CEX Listings ✅CMC & CG Fast Track ✅Huge Marketing ✅Pinksale Audit ✅Tax 0% ✅ETH Rewards ✅USDT Rewards ✅4096 Bit Encryption ✅NFT Rewards for Private Sale ✅Previous Project 38X ✅Highly Professional Team ",136.95701397407188 ," 25,000 "," 50,000 ", BUSD , 2023.01.04 04:00 , 2023.01.11 20:00 , 2023-09-14 , 95% , 1% each 5 days , canceled ,25.0," 5,000 ", https://privatex.app/
 PrivateX Private Sale , No , No ," World's First Sanction Proof, Self Destructive Smart Contract Protocol that enables Private & Anonymous Transactions on Blockchain. ✅Layer 1 Private Protocol ✅All LIVE products ✅Seed Round Successful ✅Multiple CEX Listings ✅CMC & CG Fast Track ✅Huge Marketing ✅Pinksale Audit ✅Tax 0% ✅ETH Rewards ✅USDT Rewards ✅4096 Bit Encryption ✅NFT Rewards for Private Sale ✅Previous Project 38X ✅Highly Professional Team ",0 ," 25,000 "," 50,000 ", BUSD , 2023.01.03 08:00 , 2023.01.10 08:00 , 2023-09-14 , 95% , 1% each 5 days , canceled ,500.0," 5,000 ", https://privatex.app/
 MetaGold V2 Private Sale , No , No ," Congratulations, you've been invited to the private sale of MetaGold 2.0. Please invest ASAP before the hardcap is reached, investors generally invest more than they say they will. DON'T MISS YOUR SPOT BY DELAYING. You will receive the tokens for half the price of the pinksale price, so this is by far the lowest price you will ever get for MetaGold V2. ",250 , 125 , 250 , BNB , 2023.01.03 03:00 , 2023.01.09 03:00 , 2023-09-14 , 95% , 5% each 3 days , ended ,5.0, 40 , https://metagoldrewards.com/
 BeePro Seed Round , Yes , No ," BeePRO is a universal Dex platform in which we integrate our unique ecosystem that will help almost everyone in the crypto industry: from trading to investing. We are creating a full-fledged technological complex, which can give huge analytical flows on any crypto project with information obtained from the analysis of the blockchain network about the reliability and development prospects of each token. To participate, use the form on the website. ",531.209904481938108 , 350 , 700 , BNB , 2022.12.29 19:25 , 2023.01.10 15:00 , 2023-09-14 , 95% , 5% each 1 days , ended ,0.1, 350 , https://beepro.dev/?utm_source=pink&utm_medium=sale&utm_campaign=seed2
 Doge Vegas Seed Sale , Yes , No ," Welcome to the Doge Vegas Private Sale. This is an exclusive pribvate sale for our most loyal community members. Contributors will get a bonus up to 30% based on their contribution. We'll be airdropping tokens at launch. Public presale is planned the 5th of January 2023 on Pinksale. Doge Vegas is a Virtual City builded on top of the Sandbox Metaverse with a De-Fi infrastructure. Doge Vegas owns LAND, creates and develops Unique ASSETS and Gaming Experiences on The Sandbox Metaverse. ",0 , 25 , 50 , BNB , 2022.12.28 19:00 , 2022.12.30 19:00 , 2023-09-14 , 90% , 10% each 1 days , canceled ,0.06, 2 , https://dogevegas.io/
 Avatanium (AAM) Private Sale , No , No ," Avatanium is reserved for listing on LBank, a large-scale CEX exchange with high liquidity. You can contribute 2 BNB to the maximum allocation and 0.1 BNB to the minimum allocation. Each BNB is allocated 300% of the listing price on the CEX exchange. You can receive AAM tokens based on the amount of BNB you contribute to the private sale. For more information, please refer to the official site news. https://www.avatanium.shop/blogs/news/avatanium-aam-ico-private-sale ",0.319 , 50 , 100 , BNB , 2022.12.22 01:00 , 2022.12.27 04:59 , 2023-09-14 , 95% , 5% each 1 days , canceled ,0.1, 2 , https://www.avatanium.shop/
 Phantom Watch , No , No , First version A) Finding most profitable wallets B) Notifications on movements of chosen wallets C) Copying in real time movements of chosen wallets Treasury income 1) 5% TAX of buying/selling $PW 2) 15-20 % tax from profits taken of wallet movements copying function RANKS 1 - 250 USD will get access to functions A and B 2 - 500 USD will get access to functions A and B and C and will get part of revenue 3 - 1000 USD will get access to all functions and will get 3x multiplier on revenue ,"41,001.374147534625 "," 40,000 "," 65,000 ", USDC , 2022.12.19 21:00 , 2023.01.31 19:27 , 2023-09-14 , 95% , 5% each 1 days , ended ,250.0," 8,000 ", https://phantomwatch.bnb/
 BeePro Seed Round , Yes , No ," BeePRO is a universal Dex platform in which we integrate our unique ecosystem that will help almost everyone in the crypto industry: from trading to investing. We are creating a full-fledged technological complex, which can give huge analytical flows on any crypto project with information obtained from the analysis of the blockchain network about the reliability and development prospects of each token. To participate, use the form on the website. ",295.20153 , 700 ," 1,300 ", BNB , 2022.12.18 13:40 , 2023.01.01 13:40 , 2023-09-14 , 50% , 25% each 15 days , canceled ,1.0, 405 , https://beepro.dev/?utm_source=pink&utm_medium=sale&utm_campaign=seed
 EverSAFU Private Sale , No , No ," Welcome to the EverSAFU Private Sale. This is an exclusive private sale for our loyal EverSAFU holders. You will have the ability to contribute 1 BNB for max allocation and 0.1 BNB for minimum allocation. Each BNB is equivalent to 1,000,000,000 tokens. We'll be airdropping tokens at launch to those who contributed to the private sale based on how much BNB they contributed. Special NFT Badge will airdrop a week after launch. ",26.525479490546995614 , 50 , 100 , BNB , 2022.12.14 14:00 , 2022.12.18 14:00 , 2023-09-14 , 70% , 5% each 1 days , canceled ,0.1, 1 , https://eversafu.com/
 BRIKN Private Sale , Yes , No ," The worlds first property DAO to offer monthly rewards in $USDT, offering rewards from an entire property portfolio. Brikn is a revolutionary project that makes real estate investments possible within seconds without banks, hidden fees, or geographic limits. The project is a great opportunity for anyone who's seeking ways to invest in multiple real estate projects without the need for large capital that generates passive income, diversify their investment portfolio, and protect their capital from inflation. ",2.940468926213107877 , 200 , 400 , BNB , 2022.12.07 12:00 , 2023.02.10 00:00 , 2023-09-14 , 20% , 20% each 3 days , canceled ,0.1, 400 , https://www.brikn.io/
 Retroverse World Private Sale , No , No ," Retroverse World aim to be the most immersive Entertainment Platform for experiencing and learning about any major event that has ever taken place in the history of the world. Don't just read the history, relive the story. With the help of VR , AI and state of the art 3D rendering Retroverse World platform will allow you travel back in time and be present at the assassination of Julius Caesar on the 15th of March 44 BC, or to be an Apollo Astronaut landing on the moon on 20 July 1969 and more. ",0 , 75 , 150 , BNB , 2022.12.05 15:53 , 2023.02.08 15:52 , 2023-09-14 , 75% , 25% each 60 days , ended ,0.25," 1,000 ", https://www.retroverseworld.click/
 Crazy Mavro , No , No ," We will start a new system with a monthly 30% profit plan. It will attract people from all over the world to join.Starting our system on the blockchain, nothing is hidden.Anyone can join the mavro transaction to participate in the system.Here is fair, reject oligarch attacks. We are about to start this great system.Actively participate in breaking down the unfair financial system.Let's change the world together! ",0 ," 50,000 "," 100,000 ", USDT , 2022.12.03 12:00 , 2022.12.10 12:00 , 2023-09-14 , 70% , 10% each 10 days , ended ,110.0, 550 , https://t.me/Crazy_Mavro
 BRIKN Private Sale , No , No ," The worlds first property DAO to offer monthly rewards in $USDT, offering rewards from an entire property portfolio. Brikn is a revolutionary project that makes real estate investments possible within seconds without banks, hidden fees, or geographic limits. The project is a great opportunity for anyone who's seeking ways to invest in multiple real estate projects without the need for large capital that generates passive income, diversify their investment portfolio, and protect their capital from inflation. ",0 , 200 , 400 , BNB , 2022.12.07 12:00 , 2022.12.25 00:00 , 2023-09-14 , 50% , 25% each 2 days , canceled ,0.1, 400 , https://www.brikn.io/
 Cremation Coin Private Sale , Yes , No ," Cremation Coin is a new crypto aimed at burning coins with excessive supplies. Due to the devastation caused by the UST depeg event, we are starting by burning LUNC!💸Presale buyers will receive a 10% token bonus at launch. 🔒Liquidity locked for two years🔥HUGE LUNC burns!🌎Charitable and humanitarian efforts More information in our white paper. Check our telegram for special offers: t.me/cremationcoin. White paper: https://drive.google.com/file/d/1F75gHq8FAVMHGMu8X_Xk2NGRHBpl549E/view?usp=share_link ",0.377175448 , 5 , 10 , BNB , 2022.12.02 17:00 , 2022.12.16 17:00 , 2023-09-14 , 95% , 5% each 1 days , canceled ,0.1, 10 , https://cremationcoin.net/
 TxHash Dome Private Sale , Yes , No , 👑 TxHash Dome Holdings L.L.C. 👑 👉🏼Doxxed and KYCed DEV/Team 👉🏼All the utilities and more: 🥇Token and Staking 🎆 NFTs and Staking ♻️ Anonymous buybacks 🎉 Project X (unlimited revenue TBA!) 👥️ Social platform 🛡 Safe service trading Smart Escrow Contract 🚀 Safe Launchpad 🛡 KYC and Audit Services 👩🏻‍💻Streaming and AMA Services 🫡 Paid trending and advertising services 🧑‍🚀Venture Capital (Project Kickstart) 💱 Exchange and listing 👨🏻‍💻 Fully operational DAO 🤝🏻Partnerships ,5.000875849258827609 , 65 , 100 , BNB , 2022.12.09 18:00 , 2022.12.16 18:00 , 2023-09-14 , 95% , 5% each 1 days , canceled ,0.5, 2 , https://txhashdome.com/
 TxHash Dome Private Sale , No , No , 👑 TxHash Dome Holdings L.L.C. 👑 👉🏼Doxxed and KYCed DEV/Team 👉🏼All the utilities and more: 🥇Token and Staking 🎆 NFTs and Staking ♻️ Anonymous buybacks 🎉 Project X (unlimited revenue TBA!) 👥️ Social platform 🛡 Safe service trading Smart Escrow Contract 🚀 Safe Launchpad 🛡 KYC and Audit Services 👩🏻‍💻Streaming and AMA Services 🫡 Paid trending and advertising services 🧑‍🚀Venture Capital (Project Kickstart) 💱 Exchange and listing 👨🏻‍💻 Fully operational DAO 🤝🏻Partnerships ,0 , 65 , 100 , BNB , 2022.11.30 18:00 , 2022.12.16 00:00 , 2023-09-14 , 95% , 5% each 1 days , canceled ,0.5, 2 , https://txhashdome.com/
 BerryChain Private Sale , Yes , No ," 🔰BerryChain🔰 BerryChain is an Innovative Platform For exploring Crypto. People can send, receive, buy, swap multichain tokens with low gas fees, fast, transparently to others. People can also make passive income by Staking, Learn and answer question. 💫 Alpha App Live on Google Play Store 💫 Berry Wallet ⚡️Berry Earn⚡️Investment Pool⚡️Staking & NFT⚡️Berry Charity⚡️Metaverse⚡️ 💥Experienced Team. 💥 Launching With Low Market Cap. 💥Listing Confirmed On Bitmart Exchange. ",0 ," 50,000 "," 100,000 ", BUSD , 2022.12.12 13:00 , 2022.12.16 13:00 , 2023-09-14 , 95% , 5% each 1 days , canceled ,100.0," 1,000 ", https://berrychain.io/
 BPRTST , No , No , Private Sale Address 0xF1671eff1Ca5624C0ED2C0eDCFDc1E4809444D43 ,0.2 , 0.1 , 0.2 , BNB , 2022.11.28 19:45 , 2022.11.28 20:10 , 2023-09-14 , 50% , 25% each 2 days , ended ,0.1, 0.5 , https://bitcoin.org/
